t_s,pwm,power_w,t_sense_c,t_die_c,rpm
16.100,29.8039,150.0000,33.3125,37.1748,4470.53
16.200,29.8039,150.0000,33.4375,37.2353,4470.53
16.300,29.8039,150.0000,33.5000,37.2957,4470.53
16.400,29.8039,150.0000,33.5625,37.3559,4470.54
16.500,29.8039,150.0000,33.5000,37.4160,4470.54
16.600,29.8039,150.0000,33.6250,37.4760,4470.54
16.700,29.8039,150.0000,33.6875,37.5358,4470.55
16.800,29.8039,150.0000,33.7500,37.5955,4470.55
16.900,29.8039,150.0000,33.8125,37.6551,4470.55
17.000,29.8039,150.0000,33.8750,37.7145,4470.55
17.100,29.8039,150.0000,34.0000,37.7738,4470.56
17.200,29.8039,150.0000,34.1250,37.8330,4470.56
17.300,29.8039,150.0000,34.0625,37.8920,4470.56
17.400,29.8039,150.0000,34.2500,37.9509,4470.56
17.500,29.8039,150.0000,34.2500,38.0097,4470.56
17.600,29.8039,150.0000,34.3750,38.0683,4470.57
17.700,29.8039,150.0000,34.3750,38.1269,4470.57
17.800,29.8039,150.0000,34.5000,38.1853,4470.57
17.900,29.8039,150.0000,34.4375,38.2435,4470.57
18.000,29.8039,150.0000,34.5625,38.3016,4470.57
18.100,29.8039,150.0000,34.6250,38.3596,4470.57
18.200,29.8039,150.0000,34.7500,38.4175,4470.57
18.300,29.8039,150.0000,34.7500,38.4752,4470.57
18.400,29.8039,150.0000,34.8750,38.5329,4470.58
18.500,29.8039,150.0000,34.8750,38.5903,4470.58
18.600,29.8039,150.0000,35.0625,38.6477,4470.58
18.700,29.8039,150.0000,35.0000,38.7049,4470.58
18.800,29.8039,150.0000,35.0625,38.7620,4470.58
18.900,29.8039,150.0000,35.1875,38.8190,4470.58
19.000,29.8039,150.0000,35.2500,38.8759,4470.58
19.100,29.8039,150.0000,35.3750,38.9326,4470.58
19.200,29.8039,150.0000,35.3125,38.9892,4470.58
19.300,29.8039,150.0000,35.3750,39.0456,4470.58
19.400,29.8039,150.0000,35.4375,39.1020,4470.58
19.500,29.8039,150.0000,35.6250,39.1582,4470.58
19.600,29.8039,150.0000,35.6875,39.2143,4470.58
19.700,29.8039,150.0000,35.6250,39.2703,4470.58
19.800,29.8039,150.0000,35.7500,39.3261,4470.58
19.900,29.8039,150.0000,35.7500,39.3818,4470.58
20.000,29.8039,150.0000,35.9375,39.4374,4470.58
20.100,29.8039,150.0000,35.9375,39.4929,4470.58
20.200,29.8039,150.0000,35.9375,39.5483,4470.58
20.300,29.8039,150.0000,36.0000,39.6035,4470.58
20.400,29.8039,150.0000,36.0625,39.6586,4470.59
20.500,29.8039,150.0000,36.1250,39.7136,4470.59
20.600,29.8039,150.0000,36.3125,39.7684,4470.59
20.700,29.8039,150.0000,36.3125,39.8232,4470.59
20.800,29.8039,150.0000,36.3750,39.8778,4470.59
20.900,29.8039,150.0000,36.3750,39.9323,4470.59
21.000,29.8039,150.0000,36.5625,39.9867,4470.59
21.100,29.8039,150.0000,36.5625,40.0409,4470.59
21.200,29.8039,150.0000,36.6250,40.0951,4470.59
21.300,29.8039,150.0000,36.6250,40.1491,4470.59
21.400,29.8039,150.0000,36.6875,40.2030,4470.59
21.500,29.8039,150.0000,36.9375,40.2567,4470.59
21.600,29.8039,150.0000,36.8750,40.3104,4470.59
21.700,29.8039,150.0000,36.9375,40.3639,4470.59
21.800,29.8039,150.0000,36.8750,40.4173,4470.59
21.900,29.8039,150.0000,37.1250,40.4706,4470.59
22.000,29.8039,150.0000,37.1250,40.5238,4470.59
22.100,29.8039,150.0000,37.1250,40.5769,4470.59
22.200,29.8039,150.0000,37.1875,40.6298,4470.59
22.300,29.8039,150.0000,37.2500,40.6827,4470.59
22.400,29.8039,150.0000,37.3125,40.7354,4470.59
22.500,29.8039,150.0000,37.4375,40.7879,4470.59
22.600,29.8039,150.0000,37.5000,40.8404,4470.59
22.700,29.8039,150.0000,37.5000,40.8928,4470.59
22.800,29.8039,150.0000,37.5625,40.9450,4470.59
22.900,29.8039,150.0000,37.6250,40.9971,4470.59
23.000,29.8039,150.0000,37.7500,41.0492,4470.59
23.100,29.8039,150.0000,37.7500,41.1010,4470.59
23.200,29.8039,150.0000,37.9375,41.1528,4470.59
23.300,29.8039,150.0000,37.8750,41.2045,4470.59
23.400,29.8039,150.0000,37.8750,41.2560,4470.59
23.500,29.8039,150.0000,38.0000,41.3075,4470.59
23.600,29.8039,150.0000,38.0000,41.3588,4470.59
23.700,29.8039,150.0000,38.1250,41.4100,4470.59
23.800,29.8039,150.0000,38.1875,41.4611,4470.59
23.900,29.8039,150.0000,38.3125,41.5121,4470.59
24.000,29.8039,150.0000,38.3125,41.5629,4470.59
24.100,29.8039,150.0000,38.3750,41.6137,4470.59
24.200,29.8039,150.0000,38.3750,41.6643,4470.59
24.300,29.8039,150.0000,38.3750,41.7148,4470.59
24.400,29.8039,150.0000,38.5625,41.7653,4470.59
24.500,29.8039,150.0000,38.5625,41.8156,4470.59
24.600,29.8039,150.0000,38.6250,41.8657,4470.59
24.700,29.8039,150.0000,38.6875,41.9158,4470.59
24.800,29.8039,150.0000,38.6875,41.9658,4470.59
24.900,29.8039,150.0000,38.8125,42.0156,4470.59
25.000,29.8039,150.0000,38.8750,42.0654,4470.59
25.100,29.8039,150.0000,38.9375,42.1150,4470.59
25.200,29.8039,150.0000,39.0625,42.1646,4470.59
25.300,29.8039,150.0000,39.0000,42.2140,4470.59
25.400,29.8039,150.0000,39.0000,42.2633,4470.59
25.500,29.8039,150.0000,39.1875,42.3125,4470.59
