t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
13.000,40.0000,150.0000,30.6250,34.4235,5999.29,0.063977
13.100,40.0000,150.0000,30.7500,34.4824,5999.33,0.063979
13.200,40.0000,150.0000,30.7500,34.5412,5999.38,0.063980
13.300,40.0000,150.0000,30.8125,34.5998,5999.42,0.063981
13.400,40.0000,150.0000,30.9375,34.6583,5999.46,0.063983
13.500,40.0000,150.0000,31.0000,34.7167,5999.50,0.063984
13.600,40.0000,150.0000,31.0625,34.7749,5999.53,0.063985
13.700,40.0000,150.0000,31.1875,34.8331,5999.56,0.063986
13.800,40.0000,150.0000,31.1250,34.8910,5999.59,0.063987
13.900,40.0000,150.0000,31.2500,34.9489,5999.62,0.063988
14.000,40.0000,150.0000,31.3125,35.0066,5999.64,0.063989
14.100,40.0000,150.0000,31.3750,35.0642,5999.67,0.063989
14.200,40.0000,150.0000,31.5000,35.1217,5999.69,0.063990
14.300,40.0000,150.0000,31.5000,35.1790,5999.71,0.063991
14.400,40.0000,150.0000,31.6250,35.2362,5999.73,0.063991
14.500,40.0000,150.0000,31.6875,35.2933,5999.75,0.063992
14.600,40.0000,150.0000,31.8125,35.3503,5999.76,0.063992
14.700,40.0000,150.0000,31.8125,35.4071,5999.78,0.063993
14.800,40.0000,150.0000,31.8125,35.4638,5999.79,0.063993
14.900,40.0000,150.0000,31.9375,35.5204,5999.81,0.063994
15.000,40.0000,150.0000,32.0000,35.5769,5999.82,0.063994
15.100,40.0000,150.0000,32.0000,35.6332,5999.83,0.063995
15.200,40.0000,150.0000,32.1250,35.6894,5999.84,0.063995
15.300,40.0000,150.0000,32.1875,35.7455,5999.85,0.063995
15.400,40.0000,150.0000,32.2500,35.8014,5999.86,0.063996
15.500,40.0000,150.0000,32.3125,35.8573,5999.87,0.063996
15.600,40.0000,150.0000,32.3125,35.9130,5999.88,0.063996
15.700,40.0000,150.0000,32.3750,35.9685,5999.89,0.063996
15.800,40.0000,150.0000,32.5000,36.0240,5999.90,0.063997
15.900,40.0000,150.0000,32.5000,36.0793,5999.90,0.063997
16.000,40.0000,150.0000,32.6250,36.1345,5999.91,0.063997
16.100,40.0000,150.0000,32.6875,36.1896,5999.92,0.063997
16.200,40.0000,150.0000,32.6875,36.2446,5999.92,0.063997
16.300,40.0000,150.0000,32.8125,36.2994,5999.93,0.063998
16.400,40.0000,150.0000,32.8750,36.3542,5999.93,0.063998
16.500,40.0000,150.0000,32.8750,36.4088,5999.94,0.063998
16.600,40.0000,150.0000,33.0000,36.4633,5999.94,0.063998
16.700,40.0000,150.0000,33.1875,36.5176,5999.94,0.063998
16.800,40.0000,150.0000,33.1250,36.5718,5999.95,0.063998
16.900,40.0000,150.0000,33.1875,36.6260,5999.95,0.063998
17.000,40.0000,150.0000,33.3125,36.6800,5999.95,0.063999
17.100,40.0000,150.0000,33.2500,36.7338,5999.96,0.063999
17.200,40.0000,150.0000,33.4375,36.7876,5999.96,0.063999
17.300,40.0000,150.0000,33.4375,36.8412,5999.96,0.063999
17.400,40.0000,150.0000,33.3750,36.8948,5999.97,0.063999
17.500,40.0000,150.0000,33.4375,36.9482,5999.97,0.063999
17.600,40.0000,150.0000,33.6250,37.0014,5999.97,0.063999
17.700,40.0000,150.0000,33.6250,37.0546,5999.97,0.063999
17.800,40.0000,150.0000,33.7500,37.1076,5999.97,0.063999
17.900,40.0000,150.0000,33.8125,37.1606,5999.98,0.063999
18.000,40.0000,150.0000,33.8750,37.2134,5999.98,0.063999
18.100,40.0000,150.0000,33.8125,37.2661,5999.98,0.063999
18.200,40.0000,150.0000,34.0000,37.3186,5999.98,0.063999
18.300,40.0000,150.0000,34.0000,37.3711,5999.98,0.063999
18.400,40.0000,150.0000,34.0625,37.4234,5999.98,0.063999
18.500,40.0000,150.0000,34.2500,37.4757,5999.98,0.063999
18.600,40.0000,150.0000,34.2500,37.5278,5999.99,0.064000
18.700,40.0000,150.0000,34.2500,37.5798,5999.99,0.064000
