epoch_ms,setpt,requester,fan0,fan0_raw,fan0_pwm,fan0_pwm_raw,die0,die0_raw,failsafe
1786401912242,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912342,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912446,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912542,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912642,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912742,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912842,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401912942,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913042,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913142,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913243,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913342,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913442,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913543,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913642,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913742,3000,Minimum,4471,4471,0.3,-1,62.4375,62.4375,0
1786401913842,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401913942,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914042,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914142,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914242,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914342,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914442,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914542,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914642,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914742,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914842,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401914942,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915042,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915142,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915242,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915342,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915443,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915546,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915642,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915742,3000,Minimum,4471,4471,0.3,-1,62.5625,62.5625,0
1786401915842,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401915942,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916042,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916142,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916242,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916342,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916442,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916542,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916642,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916742,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916842,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401916942,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917042,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917142,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917242,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917342,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917442,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917542,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
1786401917642,3000,Minimum,4471,4471,0.3,-1,62.625,62.625,0
